QUESTION_TEXT,QUESTION_SLUG,HAS_ANSWER_SET,IS_MULTIPLE_RESPONSE,ANSWER_VALUE,ANSWER_TEXT,EXTRACT_COLUMN_HEADER,EXTRACT_COLUMN_VALUE,EXTRACT_COLUMN_OTHER
Volunteer / community service organization,15599-Row 2,1,0,2,Intend to join,15599-Row 2,2,
Volunteer / community service organization,15599-Row 2,1,0,3,No,15599-Row 2,3,
Student religious group??,15599-Row 3,1,0,1,Current member,15599-Row 3,1,
Student religious group??,15599-Row 3,1,0,2,Intend to join,15599-Row 3,2,
Student religious group??,15599-Row 3,1,0,3,No,15599-Row 3,3,
Collegiate athletic team,15599-Row 4,1,0,1,Current member,15599-Row 4,1,
Collegiate athletic team,15599-Row 4,1,0,2,Intend to join,15599-Row 4,2,
Collegiate athletic team,15599-Row 4,1,0,3,No,15599-Row 4,3,
Intramural or club athletic team,15599-Row 5,1,0,1,Current member,15599-Row 5,1,
Intramural or club athletic team,15599-Row 5,1,0,2,Intend to join,15599-Row 5,2,
Intramural or club athletic team,15599-Row 5,1,0,3,No,15599-Row 5,3,
Peer education group,15599-Row 6,1,0,1,Current member,15599-Row 6,1,
Peer education group,15599-Row 6,1,0,2,Intend to join,15599-Row 6,2,
Peer education group,15599-Row 6,1,0,3,No,15599-Row 6,3,
"Media organization (e.g., newspaper, radio, magazine, etc.)",15599-Row 7,1,0,1,Current member,15599-Row 7,1,
"Media organization (e.g., newspaper, radio, magazine, etc.)",15599-Row 7,1,0,2,Intend to join,15599-Row 7,2,
"Media organization (e.g., newspaper, radio, magazine, etc.)",15599-Row 7,1,0,3,No,15599-Row 7,3,
Affinity or ethnic group,15599-Row 8,1,0,1,Current member,15599-Row 8,1,
Affinity or ethnic group,15599-Row 8,1,0,2,Intend to join,15599-Row 8,2,
Affinity or ethnic group,15599-Row 8,1,0,3,No,15599-Row 8,3,
Political or social action group,15599-Row 9,1,0,1,Current member,15599-Row 9,1,
Political or social action group,15599-Row 9,1,0,2,Intend to join,15599-Row 9,2,
Political or social action group,15599-Row 9,1,0,3,No,15599-Row 9,3,
Music or other performing arts group,15599-Row 10,1,0,1,Current member,15599-Row 10,1,
Music or other performing arts group,15599-Row 10,1,0,2,Intend to join,15599-Row 10,2,
Music or other performing arts group,15599-Row 10,1,0,3,No,15599-Row 10,3,
Professional organization,15599-Row 11,1,0,1,Current member,15599-Row 11,1,
Professional organization,15599-Row 11,1,0,2,Intend to join,15599-Row 11,2,
Professional organization,15599-Row 11,1,0,3,No,15599-Row 11,3,
Reserve Officers?€? Training Corp (ROTC),15599-Row 12,1,0,1,Current member,15599-Row 12,1,
Reserve Officers?€? Training Corp (ROTC),15599-Row 12,1,0,2,Intend to join,15599-Row 12,2,
Reserve Officers?€? Training Corp (ROTC),15599-Row 12,1,0,3,No,15599-Row 12,3,
"Please indicate your current affiliation with U.S. Armed Forces, Military Reserves, or National Guard, if any:",15601,1,1,1,I have no affiliation with the U.S. military.,15601_1,1,
"Please indicate your current affiliation with U.S. Armed Forces, Military Reserves, or National Guard, if any:",15601,1,1,2,I am a veteran.,15601_2,1,
"Please indicate your current affiliation with U.S. Armed Forces, Military Reserves, or National Guard, if any:",15601,1,1,3,I am currently on active duty.,15601_3,1,
"Please indicate your current affiliation with U.S. Armed Forces, Military Reserves, or National Guard, if any:",15601,1,1,4,I am a military spouse.,15601_4,1,
"Please indicate your current affiliation with U.S. Armed Forces, Military Reserves, or National Guard, if any:",15601,1,1,5,I am a legal dependent of a person who is currently on active duty.,15601_5,1,
"Please indicate your current affiliation with U.S. Armed Forces, Military Reserves, or National Guard, if any:",15601,1,1,6,I am a legal dependent of a veteran.,15601_6,1,
